Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
IST-Hochschule für Management (Düsseldorf); NW;FH;privat;nein;2013;1.134;2015/16 (WS)
Kunstakademie Düsseldorf; NW;FH;staatlich;ja;1773;608;2012/13 (WS)
Robert Schumann Hochschule Düsseldorf; NW;FH;staatlich;ja;1972;890;2012/13 (WS)
Hochschule für nachhaltige Entwicklung Eberswalde; BB;FH;staatlich;nein;1992;2.033;2012/13 (WS)
Hochschule für Finanzen Rheinland-Pfalz (Edenkoben); RP;FH;staatlich;nein;1981;474;2012/13 (WS)
Katholische Universität Eichstätt-Ingolstadt; BY;Uni;konfessionell;ja;1980;4.769;2019/20 (WS)
Nordakademie (Elmshorn); SH;FH;privat;nein;1992;1.327;2012/13 (WS)
Theologische Hochschule Elstal; BB;FH;konfessionell;nein;1880;65;2015/16 (WS)
Hochschule Emden/Leer; NI;FH;staatlich;nein;2009;4.708;2016/17 (WS)
Hochschule für angewandtes Management (Ismaning); BY;FH;privat;nein;2004;3.000;2018/19 (WS)
Fachhochschule Erfurt; TH;FH;staatlich;nein;1991;4.589;2012/13 (WS)
Universität Erfurt; TH;Uni;staatlich;ja;1392/1994 (1379);5.928;2019/20 (WS)
Friedrich-Alexander-Universität Erlangen-Nürnberg; BY;Uni;staatlich;ja;1742;37.575;2019/20 (WS)
Folkwang Universität der Künste (Essen); NW;FH;staatlich;ja;1927;1.506;2012/13 (WS)
Hochschule der bildenden Künste Essen; NW;FH;privat;nein;2013;139;2017/18 (WS)
FOM – Hochschule für Oekonomie und Management (Essen); NW;FH;privat;nein;1993;55.000;2019/20 (WS)
Hochschule Esslingen; BW;FH;staatlich;nein;1971;6.018;2012/13 (WS)
Theologische Hochschule Ewersbach; HE;FH;konfessionell;nein;"1912; FH seit 2011";67;2012/13 (WS)
Hochschule Flensburg (Fachhochschule); SH;FH;staatlich;nein;1886;4.047;2012/13 (WS)
Europa-Universität Flensburg; SH;Uni;staatlich;ja;1994;5.938;2019/20 (WS)
Frankfurt University of Applied Sciences; HE;FH;staatlich;ja;1971;10.683;2012/13 (WS)
Frankfurt School of Finance & Management; HE;Uni;privat;ja;1957;2.701;2019/20 (WS)
Hochschule für Musik und Darstellende Kunst Frankfurt am Main; HE;FH;staatlich;ja;1938;862;2012/13 (WS)
Johann Wolfgang Goethe-Universität Frankfurt am Main; HE;Uni;staatlich;ja;1914;45.604;2019/20 (WS)
Philosophisch-Theologische Hochschule Sankt Georgen (Frankfurt am Main); HE;FH;konfessionell;ja;1926;335;2012/13 (WS)
Provadis School of International Management and Technology (Frankfurt am Main); HE;FH;privat;nein;2002;897;2012/13 (WS)
Staatliche Hochschule für Bildende Künste – Städelschule (Frankfurt am Main); HE;FH;staatlich;nein;1829;196;2012/13 (WS)
Europa-Universität Viadrina (Frankfurt (Oder)); BB;Uni;staatlich;ja;1506/1992;6.004;2019/20 (WS)
Technische Universität Bergakademie Freiberg; SN;Uni;staatlich;ja;1765;3.830;2019/20 (WS)
Albert-Ludwigs-Universität Freiburg; BW;Uni;staatlich;ja;1457;24.028;2019/20 (WS)
Evangelische Hochschule Freiburg; BW;FH;konfessionell;nein;1918;896;2012/13 (WS)
Hochschule für Musik Freiburg; BW;FH;staatlich;ja;1946;481;2016/17 (WS)
Hochschule für Kunst, Design und Populäre Musik Freiburg; BW;FH;privat;nein;2010;111;2012/13 (WS)
Katholische Hochschule Freiburg; BW;FH;konfessionell;nein;1971;1.716;2012/13 (WS)
Pädagogische Hochschule Freiburg; BW;PH;staatlich;ja;1962;4.535;2016/17 (WS)
Theologische Hochschule Friedensau; ST;FH;konfessionell;nein;1899;188;2012/13 (WS)
Zeppelin Universität (Friedrichshafen); BW;Uni;privat;ja;2003;903;2019/20 (WS)
Hochschule Fulda; HE;FH;staatlich;ja;1974;8.495;2016/17 (WS)
Theologische Fakultät Fulda; HE;FH;konfessionell;ja;1734;43;2012/13 (WS)
Wilhelm Löhe Hochschule für angewandte Wissenschaften (Fürth); BY;FH;privat;nein;2012;103;2015/16 (WS)
Hochschule Furtwangen; BW;FH;staatlich;nein;1850;5.840;2012/13 (WS)
Hochschule Geisenheim; HE;FH;staatlich;ja;2013;1.100;2012/13 (WS)
Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen (Gelsenkirchen); NW;FH;staatlich;nein;1976;6.881;2012/13 (WS)
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen; NW;FH;staatlich;nein;1992;8.731;2019/20 (WS)
Duale Hochschule Gera-Eisenach; TH;DH;staatlich;nein;2016;1.440;2018/19 (WS)
SRH Hochschule für Gesundheit (Gera); TH;FH;privat;nein;2006;486;2012/13 (WS)
Freie Theologische Hochschule Gießen; HE;FH;konfessionell;nein;"1974; FH seit 2008";209;2012/13 (WS)
